storeName,ownerName,contact,email,openTime,closeTime,generalGuidelines
Kwimbee,Claudia Worwood,57-0044813,cworwood3a@alibaba.com,12:45 AM,10:48 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Skipfire,Zebedee Lambal,41-3016579,zlambal3b@google.es,2:10 AM,4:47 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Leexo,Teddie Cogan,90-0740131,tcogan3c@wikimedia.org,7:23 AM,3:49 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Wikivu,Fleming Nurse,27-9321980,fnurse3d@bluehost.com,8:53 AM,2:46 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Twitternation,Wilfred Malmar,11-7402164,wmalmar3e@time.com,5:10 AM,9:25 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Skiptube,Chelsey Cromett,25-6005044,ccromett3f@slashdot.org,1:21 AM,8:57 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Jabbercube,Carson Molan,81-3841033,cmolan3g@bizjournals.com,1:24 AM,3:30 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Trilia,Gilbertina Farran,61-6214897,gfarran3h@shareasale.com,1:31 AM,1:29 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Yakidoo,Evania Twitchett,48-9782660,etwitchett3i@hud.gov,4:39 AM,5:28 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Devshare,Lorry Carmen,05-1061926,lcarmen3j@microsoft.com,11:21 AM,1:24 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Minyx,Rock Dominighi,71-0401758,rdominighi3k@artisteer.com,3:03 AM,10:23 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Meezzy,Vergil Bastistini,23-5777771,vbastistini3l@howstuffworks.com,7:30 AM,8:44 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Livetube,Kizzee Isakov,59-2447024,kisakov3m@google.ru,11:34 AM,10:52 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Demizz,Roana Haxell,38-4353852,rhaxell3n@stanford.edu,12:13 AM,6:57 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Fiveclub,Jacquie Goodayle,69-7485028,jgoodayle3o@exblog.jp,3:10 AM,5:02 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Wikivu,Joey Freund,63-1019157,jfreund3p@time.com,8:29 AM,1:53 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Kazio,Clive Lanigan,10-6109881,clanigan3q@seesaa.net,4:46 AM,5:00 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Flashset,Turner Chevers,83-5059244,,8:52 AM,10:05 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Riffpath,Karalee Starbeck,98-5336313,,2:05 AM,3:47 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Youfeed,Mead Jenkison,40-5242706,mjenkison3t@tiny.cc,8:53 AM,9:38 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Nlounge,Alex Justham,86-5489624,ajustham3u@yandex.ru,10:29 AM,9:08 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Wikizz,Lynnell Vanner,73-2426756,lvanner3v@uiuc.edu,8:19 AM,6:06 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Aibox,Judah Pollendine,86-6936294,jpollendine3w@sohu.com,5:15 AM,3:22 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Einti,Carolina Duiged,19-1187607,cduiged3x@mlb.com,10:06 AM,11:31 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Oodoo,Edith Springall,58-4856769,espringall3y@t-online.de,7:45 AM,6:22 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Buzzshare,Ethelda Genn,20-8930757,egenn3z@uol.com.br,9:41 AM,6:21 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Wordify,Cyndi Bidewell,15-0451385,cbidewell40@ucoz.com,7:22 AM,8:36 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Tagfeed,Quintina Gibke,48-7960475,qgibke41@posterous.com,5:37 AM,2:33 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Meedoo,Brooks Eldredge,37-8892831,beldredge42@ustream.tv,9:13 AM,9:47 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Aimbu,Alyosha Brocklebank,83-4293309,abrocklebank43@multiply.com,6:52 AM,5:51 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Quimba,Carla Treasaden,68-8674030,ctreasaden44@comsenz.com,11:43 AM,10:07 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Browsetype,Kathie Byer,60-3901677,kbyer45@tuttocitta.it,5:15 AM,12:51 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Voomm,Carroll Schindler,55-1392186,cschindler46@cbsnews.com,9:58 AM,9:10 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Einti,Archy Scadden,86-5939868,ascadden47@aol.com,5:41 AM,12:06 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Yacero,Yard Kummerlowe,84-8108898,ykummerlowe48@oakley.com,6:46 AM,12:18 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Twimbo,Umeko Tale,70-6334970,,1:14 AM,9:40 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Midel,Xenia Jorck,45-4604977,xjorck4a@bbb.org,12:23 AM,3:40 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Devshare,Shalna Havers,10-1363034,,7:53 AM,6:40 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Tazz,Duffy Apfler,71-6474009,dapfler4c@paypal.com,1:50 AM,12:59 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Jazzy,La verne Dinis,52-8340936,lverne4d@ted.com,10:14 AM,9:42 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Jayo,Filia McOwen,25-2710385,fmcowen4e@fc2.com,5:17 AM,8:24 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Zoombeat,Marianne Fellos,58-6052766,mfellos4f@booking.com,11:53 AM,5:20 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Livetube,Harrietta Cliffe,40-8532891,hcliffe4g@discuz.net,3:40 AM,10:12 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Ntag,Agnella Pickup,35-0282555,apickup4h@pen.io,10:24 AM,11:52 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Rhyzio,Tonye Ateridge,80-4279683,tateridge4i@dyndns.org,6:00 AM,10:38 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Skippad,Danita Crollman,09-5097856,dcrollman4j@youtube.com,1:58 AM,2:51 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Photospace,Aloise Tethacot,96-0643747,atethacot4k@slashdot.org,4:56 AM,10:48 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Mymm,Lurline Goretti,50-3328206,lgoretti4l@tripadvisor.com,8:09 AM,10:27 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Tekfly,Odie Lofting,23-7998197,olofting4m@who.int,2:52 AM,9:44 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Kazio,Allyn Andrag,34-2606696,aandrag4n@state.tx.us,3:02 AM,5:13 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Tagopia,Eustacia Somerbell,40-2496206,esomerbell4o@auda.org.au,9:19 AM,10:56 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Katz,Faythe Glasspoole,26-3192720,fglasspoole4p@mac.com,7:21 AM,9:09 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Buzzshare,Kamillah Challiss,92-8207976,kchalliss4q@xrea.com,11:22 AM,7:09 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Flipbug,Audrie Waldocke,09-9422187,,5:28 AM,2:15 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Quimm,Waverly Pawlett,81-6337995,wpawlett4s@yolasite.com,8:30 AM,5:33 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Ainyx,Phillis Hennemann,88-0776895,,9:26 AM,7:12 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Ainyx,Roxana Parradine,76-6672634,rparradine4u@github.com,1:28 AM,3:07 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Devshare,Idell Templeton,95-6488181,itempleton4v@furl.net,5:11 AM,1:36 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Talane,Ermin Mowle,53-2804727,emowle4w@tuttocitta.it,9:07 AM,3:44 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Agivu,Mitchael Kitchingham,04-5178147,mkitchingham4x@marketwatch.com,3:47 AM,12:30 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Linklinks,Frants Jiranek,41-6067199,fjiranek4y@behance.net,3:04 AM,3:17 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Thoughtbridge,Chet Bestiman,03-9735498,cbestiman4z@stumbleupon.com,10:13 AM,8:05 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Yadel,Cristabel Backen,56-9921295,cbacken50@cnet.com,5:49 AM,6:05 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Podcat,Margery Marston,39-7162694,mmarston51@statcounter.com,2:15 AM,10:02 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Mydeo,Lyell McCurry,30-0288713,lmccurry52@jigsy.com,12:23 AM,2:15 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Tazzy,Pietro Hubatsch,75-6430033,phubatsch53@cmu.edu,11:02 AM,7:41 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Pixope,Tiertza Presland,51-0588508,tpresland54@microsoft.com,10:42 AM,3:42 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Eimbee,Stanislaw Skaife d'Ingerthorpe,53-5267471,sskaife55@google.pl,7:28 AM,5:15 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
InnoZ,Rainer Breston,00-9898887,rbreston56@foxnews.com,8:57 AM,5:54 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Wikizz,Erminia Morfield,79-3225937,emorfield57@unesco.org,9:03 AM,4:08 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Realfire,Isabeau Germon,04-2080062,igermon58@geocities.com,1:45 AM,11:09 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Oyope,Francesca Curthoys,32-7138288,fcurthoys59@rambler.ru,6:18 AM,11:25 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Realfire,Washington Cavilla,79-7911135,wcavilla5a@wisc.edu,2:31 AM,5:23 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Youtags,Andree Muldowney,92-2167943,amuldowney5b@lulu.com,4:39 AM,10:38 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Flashdog,Martyn Gaythorpe,94-4307893,mgaythorpe5c@indiegogo.com,7:25 AM,4:30 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Trilith,Clim Toffolo,10-8961196,ctoffolo5d@list-manage.com,7:55 AM,10:51 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Avamm,Josi Hovington,37-3159879,jhovington5e@si.edu,7:44 AM,12:01 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Trupe,Rikki Scamaden,77-5580534,rscamaden5f@psu.edu,12:52 AM,5:29 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Trilia,Demetri Matuschek,97-4186211,dmatuschek5g@hatena.ne.jp,10:55 AM,9:23 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Babbleset,Bancroft Spino,92-6081558,bspino5h@nasa.gov,8:35 AM,1:28 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Oloo,Caro Thurlow,93-2012589,cthurlow5i@mayoclinic.com,9:37 AM,1:39 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Camido,Charleen Rodell,76-6314461,crodell5j@alexa.com,9:55 AM,3:11 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
